Country_Name,Country_Code,1990,1995,2000,2005,2010,2015,2020
Bangladesh,BGD,19203.3,19203.29,19203.281,19043.351,18883.42,18834,18834
Brazil,BRA,5888980,5699933,5510886,5313346.5,5115807,5038848,4966196
China,CHN,1571405.9,1670705.7,1770005.5,1888054.65,2006103.8,2102942.5,2199781.8
"Congo, Dem. Rep.",COD,1506290,1472640,1438990,1405340,1371690,1316621.2,1261552.4
"Egypt, Arab Rep.",EGY,438.1,515.1,592.1,624.25,656.4,484.2,449.8
Ethiopia,ETH,204085.6,188935,185285,181635,177985,174335,170685
India,IND,639380,657645,675910,685435,694960,708280,721600
Indonesia,IDN,1185450,1099125,1012800,1004696,996592,950279,921332
Japan,JPN,249500,249130,248760,249210,249660,249440,249350
Mexico,MEX,705916.5,694865,683813.5,676623.3,669433.1,663309.1,656920.8
Nigeria,NGA,265260.9,257095.65,248930.4,240765.1,232599.8,224434.5,216269.5
Pakistan,PAK,49867.9,47490.25,45112.6,43024.95,40937.3,39326,37259
Philippines,PHL,77788.1,75440.35,73092.6,70744.9,68397.2,70141.5,71885.9
Russian Federation,RUS,8090136.2,8091092,8092685,8122020.5,8151356,8149304.6,8153116
United States,USA,3024500,3029930,3035360,3061280,3087200,3100950,3097950
